player_id,name,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9
blang001,Gregor Blanco,0.45308948,0.49589387,0.35682896,0.5679667,0.5038064,0.55121607,0.42492285,0.5171475,0.5253569
blank002,Kyle Blanks,0.5708983,0.5544669,0.54744244,0.53765017,0.464637,0.4738862,0.5553483,0.43860886,0.47018462
bloow001,Willie Bloomquist,0.5421543,0.47420183,0.41456926,0.39445907,0.40885118,0.60934764,0.53248143,0.52765906,0.54871875
bogax001,Xander Bogaerts,0.48854113,0.5002217,0.4851075,0.44258168,0.44252807,0.52413505,0.5630735,0.45120504,0.50973815
bonie001,Emilio Bonifacio,0.5015429,0.43152466,0.41669232,0.50100577,0.36234057,0.52923286,0.4299996,0.55381364,0.5127583
bourj002,Justin Bour,0.48261267,0.43699154,0.5172844,0.55635184,0.613906,0.5377967,0.42676634,0.5533668,0.43979698
bourm001,Michael Bourn,0.51143396,0.42119616,0.3237834,0.6164044,0.47206435,0.5442521,0.43453866,0.54125154,0.568136
bourp001,Peter Bourjos,0.495864,0.44870794,0.45358494,0.49980164,0.352958,0.42822242,0.5399664,0.4973815,0.404268
bradj001,Jackie Bradley,0.48364037,0.4857639,0.47285295,0.6366235,0.5009508,0.53807604,0.41832256,0.52416354,0.54219645
branm003,Michael Brantley,0.3347866,0.49030071,0.42579854,0.4686282,0.68193924,0.521656,0.44300255,0.5009262,0.55781394
braur002,Ryan Braun,0.48441955,0.47477823,0.5856362,0.44996223,0.5273513,0.52189565,0.5202341,0.55479956,0.36372083
browd004,Domonic Brown,0.46681437,0.4408002,0.5012322,0.5236029,0.5983556,0.5381516,0.44080254,0.5580265,0.5196003
brucj001,Jay Bruce,0.5165489,0.46616265,0.5617268,0.62722844,0.6657682,0.5610329,0.40304837,0.48017967,0.5341902
bryak001,Kris Bryant,0.4998947,0.6072223,0.59633183,0.6321878,0.46425527,0.48532528,0.6424119,0.40935823,0.48356977
buckj001,John Buck,0.53610456,0.51881695,0.5909222,0.47804672,0.42752728,0.5684082,0.6290735,0.51613605,0.39623982
burnb002,Billy Burns,0.44693708,0.4051063,0.39587963,0.42896488,0.42322198,0.40195855,0.47693983,0.43822488,0.5693845
buted001,Drew Butera,0.62578,0.54163766,0.53638536,0.48335633,0.484317,0.5119886,0.45266998,0.47079527,0.52850777
butlb003,Billy Butler,0.5615564,0.54923975,0.5467415,0.42039967,0.5510398,0.56125873,0.63418555,0.6305666,0.46916664
buxtb001,Byron Buxton,0.5648583,0.4643359,0.55524015,0.49822888,0.38200727,0.4832863,0.5099806,0.42438516,0.46509
byrdm001,Marlon Byrd,0.50025797,0.48319831,0.60513633,0.503454,0.46951932,0.41634956,0.59412926,0.34400773,0.45528692
cabra002,Asdrubal Cabrera,0.47445098,0.5049759,0.5580869,0.48345137,0.5292296,0.5463863,0.38723612,0.473,0.5160726
cabre001,Everth Cabrera,0.45806277,0.4051862,0.3181435,0.5405804,0.35041773,0.4904156,0.4620319,0.5341649,0.531143
cabrm001,Miguel Cabrera,0.47326216,0.60711235,0.5836994,0.45265704,0.6787076,0.5690314,0.7143562,0.5176621,0.41920888
cabrm002,Melky Cabrera,0.49183503,0.48560226,0.43464923,0.4189856,0.5794187,0.48578376,0.50132,0.5339587,0.583064
cainl001,Lorenzo Cain,0.49433336,0.50738525,0.471457,0.42112848,0.445959,0.5478679,0.53500044,0.458438,0.41140145
calhk001,Kole Calhoun,0.4762312,0.43753427,0.5034233,0.57433486,0.6496242,0.54489493,0.47616673,0.5003511,0.53944623
calla001,Alberto Callaspo,0.50935245,0.6014729,0.42358398,0.46030164,0.49510723,0.5338681,0.47021708,0.616268,0.70608324
campe001,Eric Campbell,0.51925683,0.5617484,0.5546922,0.50689006,0.4449707,0.54766595,0.5640528,0.47215593,0.5249006
canhm001,Mark Canha,0.4910074,0.51200783,0.5843777,0.43629003,0.46155828,0.48267967,0.5286451,0.4903507,0.44757602
canor001,Robinson Cano,0.40755644,0.43456566,0.39229807,0.4757715,0.7139912,0.442441,0.48077276,0.5066219,0.4357671
carpm001,Mike Carp,0.52163136,0.51166934,0.4668523,0.61720985,0.5360302,0.50038713,0.46568468,0.518828,0.4985269
carpm002,Matt Carpenter,0.53106165,0.5943968,0.40119538,0.6061899,0.69405407,0.65317595,0.40523386,0.4566194,0.50126386
carre001,Ezequiel Carrera,0.45369825,0.3374598,0.3743343,0.54956937,0.4362089,0.4941937,0.46601477,0.5273694,0.51885045
cartc002,Chris Carter,0.5726402,0.62422425,0.65899795,0.63955015,0.5459819,0.42351365,0.5691976,0.44927496,0.49159205
casac001,Curt Casali,0.54064023,0.5687368,0.596061,0.55007607,0.45195764,0.4418299,0.55486727,0.4387503,0.41854233
castj006,Jason Castro,0.49344128,0.45270163,0.530301,0.6699902,0.6419343,0.54150724,0.46203876,0.48961237,0.5519384
castn001,Nick Castellanos,0.5717988,0.55092835,0.6254425,0.49171126,0.49299768,0.58724874,0.6652356,0.42835647,0.5678241
castr004,Rusney Castillo,0.4769505,0.4442506,0.51334375,0.38407028,0.3584022,0.47577405,0.5960703,0.56160605,0.42178097
casts001,Starlin Castro,0.5652986,0.48122963,0.52297676,0.3727232,0.45596582,0.538745,0.57710445,0.48686945,0.43128145
castw002,Welington Castillo,0.5825261,0.564392,0.56719154,0.5040844,0.51985544,0.48714077,0.6030795,0.44202372,0.45257518
cervf001,Francisco Cervelli,0.54081905,0.59349793,0.49247742,0.48153257,0.43377072,0.58928686,0.64515626,0.50849146,0.4587342
cespy001,Yoenis Cespedes,0.49478197,0.5210455,0.597315,0.4454602,0.5073426,0.43902004,0.48187694,0.37208474,0.42287093
chave001,Eric Chavez,0.44339752,0.4678375,0.4965754,0.56298774,0.61159897,0.4911348,0.45752728,0.4867325,0.5470454
chave002,Endy Chavez,0.4997757,0.44063756,0.3117625,0.40530935,0.47110343,0.45756328,0.4557309,0.53087676,0.58107173
chirr001,Robinson Chirinos,0.553521,0.5830628,0.5660164,0.48021752,0.4793242,0.43148014,0.5309474,0.4455234,0.4856118
chisl001,Lonnie Chisenhall,0.50525224,0.45284885,0.4999473,0.48468205,0.5496334,0.53075176,0.4015519,0.508726,0.50645167
choos001,Shin-Soo Choo,0.41959065,0.50874805,0.38445514,0.67919487,0.63854694,0.5077405,0.4537727,0.47594324,0.4539301
cirip001,Pedro Ciriaco,0.5643385,0.43538317,0.48115015,0.40947434,0.3678161,0.45520687,0.48778805,0.39067018,0.5044255
coghc001,Chris Coghlan,0.4269001,0.4745831,0.45935848,0.5777017,0.5777291,0.54259664,0.43299595,0.51189476,0.5221843
colac001,Chris Colabello,0.47639713,0.4193691,0.5456013,0.51334125,0.44284436,0.5129515,0.6312796,0.5689825,0.34930593
collt002,Tyler Collins,0.4890706,0.4618439,0.45890307,0.56238836,0.5884338,0.53971964,0.4186342,0.46059996,0.5872676
confm001,Michael Conforto,0.46312347,0.47229353,0.50719464,0.58447,0.6156358,0.5658936,0.38007346,0.53222406,0.51684064
congh001,Hank Conger,0.44439626,0.44861355,0.6126476,0.5492087,0.5444172,0.617838,0.3941748,0.53577363,0.5089308
corpc001,Carlos Corporan,0.5647105,0.49892217,0.5297632,0.53757954,0.51586217,0.50921136,0.4667118,0.4408161,0.5095455
corrc001,Carlos Correa,0.43321043,0.5000883,0.58318585,0.43722042,0.51018316,0.48207134,0.54627895,0.6057659,0.38008136
cowgc001,Collin Cowgill,0.53619194,0.47797117,0.48295325,0.50359935,0.391147,0.39346808,0.49696484,0.4998519,0.40384287
cozaz001,Zack Cozart,0.53866386,0.51455516,0.5135954,0.39971083,0.4056093,0.38713554,0.47852618,0.4359649,0.5452802
craia001,Allen Craig,0.50834423,0.5131656,0.52406865,0.48111415,0.4402487,0.5269498,0.61281335,0.526543,0.49484405
crawb001,Brandon Crawford,0.48943114,0.4568525,0.46585357,0.5472955,0.57133883,0.52927876,0.37631932,0.49180982,0.46239272
crawc002,Carl Crawford,0.48922685,0.44151464,0.38294277,0.49074918,0.5349582,0.49057022,0.41754994,0.4500711,0.5586683
crisc001,Coco Crisp,0.42601424,0.58757085,0.529077,0.4733799,0.5494623,0.48017487,0.4149291,0.57433015,0.5982363
cronc002,C.J. Cron,0.5462252,0.4597776,0.56143546,0.46777916,0.54063976,0.48369876,0.53113705,0.4961873,0.48477045
cruzn002,Nelson Cruz,0.52867866,0.49295017,0.6176605,0.48570445,0.61383414,0.45690408,0.5806651,0.5573535,0.38811487
cruzt002,Tony Cruz,0.52830344,0.45486918,0.50513816,0.42636347,0.3840592,0.4953115,0.52472734,0.5433656,0.49855426
cuddm001,Michael Cuddyer,0.47310212,0.47716364,0.5711702,0.41556817,0.49949834,0.54216844,0.62127835,0.50799817,0.37792033
culbc001,Charlie Culberson,0.5162677,0.40211055,0.52474695,0.4782889,0.38820273,0.5122738,0.5276401,0.50544554,0.45241815
cuthc001,Cheslor Cuthbert,0.4944915,0.53253275,0.5684428,0.43559545,0.4405655,0.49524847,0.58066094,0.507372,0.5006229
darnt001,Travis d'Arnaud,0.50099313,0.55232847,0.56640476,0.44743708,0.4956966,0.4537695,0.5280337,0.49873394,0.49365237
davic003,Chris Davis,0.48147118,0.5040035,0.6391197,0.6768522,0.6865425,0.56548834,0.42710674,0.5343309,0.43256354
davii001,Ike Davis,0.53274554,0.555222,0.50831634,0.60762364,0.5804706,0.4963003,0.44966817,0.6516989,0.53134227
davik003,Khris Davis,0.51657265,0.56610644,0.6353203,0.49834964,0.49802998,0.43298206,0.53704685,0.40736306,0.4120231
davir003,Rajai Davis,0.42535812,0.46121043,0.5233462,0.42252952,0.41705546,0.4773598,0.4707915,0.44784796,0.49073774
deaza001,Alejandro de Aza,0.45636272,0.47944826,0.4013905,0.58648044,0.53675234,0.55552095,0.3855694,0.45553586,0.47690895
dejed001,David DeJesus,0.43918863,0.52733576,0.4727929,0.54284275,0.57146186,0.5809934,0.40430158,0.52589023,0.535663
dejei002,Ivan De Jesus,0.5133608,0.509236,0.58383936,0.48963064,0.4352182,0.57650626,0.59087926,0.5843402,0.43911603
dendm001,Matt den Dekker,0.46973628,0.48778918,0.43324938,0.5984293,0.52933556,0.56114227,0.43675965,0.56459105,0.495457
denoc001,Chris Denorfia,0.53133404,0.48887178,0.48764282,0.41772297,0.4035236,0.59928215,0.56899506,0.6282656,0.4143928
descd001,Daniel Descalso,0.4570791,0.47411478,0.43492353,0.5424033,0.55056566,0.5588109,0.3579985,0.5143289,0.5345924
deshd002,Delino DeShields,0.46295685,0.55255073,0.4392652,0.5015125,0.35649848,0.45690176,0.5064333,0.47625434,0.45997286
desmi001,Ian Desmond,0.41915384,0.4267372,0.58332074,0.5065125,0.4077559,0.510655,0.5289268,0.50840557,0.3851725
dickc002,Corey Dickerson,0.44965714,0.4049929,0.5112243,0.5064271,0.5945103,0.43421084,0.45228598,0.45648444,0.41618764
dietd001,Derek Dietrich,0.48335433,0.48305497,0.5249345,0.54941064,0.5442672,0.5765006,0.39121747,0.44741675,0.44280064
dirka001,Andy Dirks,0.4455146,0.4495101,0.45981884,0.5328106,0.55288404,0.5235101,0.43631744,0.5977173,0.515918
domim001,Matt Dominguez,0.53682214,0.48178202,0.58429587,0.4403866,0.49287608,0.46887076,0.52067935,0.49762875,0.562256
donaj001,Josh Donaldson,0.49958712,0.60973567,0.56873417,0.46013156,0.5513207,0.46156502,0.5507453,0.51045424,0.40326834
doumr001,Ryan Doumit,0.5098698,0.48735473,0.53339887,0.51157266,0.5433336,0.5372741,0.4578286,0.56294525,0.52364814
dozib001,Brian Dozier,0.49573472,0.6668625,0.57685953,0.49748778,0.41708353,0.31131524,0.4887301,0.39888036,0.5124669
drews001,Stephen Drew,0.49803174,0.52047926,0.5992663,0.56876147,0.55831057,0.572439,0.31654084,0.5876544,0.5298776
drurb001,Brandon Drury,0.5250874,0.52999634,0.49236554,0.40343952,0.46023762,0.44681022,0.5394665,0.5073292,0.48705485
dudal001,Lucas Duda,0.5122379,0.5891183,0.5916513,0.6410759,0.6696717,0.6175069,0.40405065,0.45167,0.48828003
duffm002,Matt Duffy,0.47026414,0.43549287,0.5339768,0.38649976,0.46228015,0.6120136,0.5919477,0.5515428,0.474809
dunna001,Adam Dunn,0.515402,0.55648994,0.59668547,0.6672095,0.6135418,0.5078737,0.42546245,0.53693706,0.44893757
duvaa001,Adam Duvall,0.56939447,0.5462684,0.6398542,0.5158661,0.5010456,0.4458607,0.5311142,0.39344865,0.48855388
dysoj001,Jarrod Dyson,0.35483727,0.38853514,0.29899323,0.54753584,0.34697092,0.42839098,0.42628276,0.55907273,0.4885211
eatoa002,Adam Eaton,0.41767555,0.4598016,0.30248806,0.5384809,0.45273936,0.36640677,0.48591998,0.4673775,0.48243615
ellia001,A.J. Ellis,0.53182256,0.66573256,0.56180817,0.47190583,0.46454242,0.5850477,0.5810344,0.5681301,0.5020871
ellim001,Mark Ellis,0.5976822,0.52281255,0.424101,0.4254417,0.43177265,0.5323542,0.5083526,0.3964818,0.60007936
ellsj001,Jacoby Ellsbury,0.46516305,0.46719784,0.35713738,0.51859623,0.5707704,0.5150896,0.45677513,0.49958992,0.5560619
elmoj001,Jake Elmore,0.5029332,0.546007,0.45294893,0.42397147,0.4086846,0.46374008,0.54232764,0.5492512,0.49721986
encae001,Edwin Encarnacion,0.46976262,0.6609154,0.63525337,0.43813196,0.5857323,0.30650797,0.5077997,0.5183225,0.47558814
escoa003,Alcides Escobar,0.5126023,0.46149975,0.41490507,0.34268603,0.34510595,0.5486118,0.48358625,0.45151055,0.59242135
escoe001,Eduardo Escobar,0.5015146,0.5052,0.47283256,0.5134611,0.53497547,0.50591797,0.4390481,0.4304863,0.55605316
escoy001,Yunel Escobar,0.54694897,0.6228459,0.4666886,0.37438434,0.4899575,0.559978,0.60370475,0.58270293,0.46093887
espid001,Danny Espinosa,0.46952006,0.4071278,0.44805086,0.6034592,0.4586306,0.4245076,0.34030807,0.40079895,0.4064849
ethia001,Andre Ethier,0.4703837,0.4971885,0.47648183,0.5206788,0.57121944,0.5678422,0.42625892,0.5012433,0.50980943
fielp001,Prince Fielder,0.48284766,0.5336608,0.445881,0.48454335,0.6927593,0.47097352,0.48860773,0.5180874,0.47470537
flahr001,Ryan Flaherty,0.4158628,0.39398035,0.49096656,0.57530355,0.5033287,0.5280547,0.37922215,0.51442987,0.4931708
florp001,Pedro Florimon,0.505217,0.46012312,0.49292368,0.5622972,0.4313991,0.5839046,0.39809144,0.55966884,0.5171921
florw001,Wilmer Flores,0.5093276,0.45829338,0.51827043,0.35676473,0.48592275,0.48189825,0.4983829,0.4642487,0.5773689
flowt001,Tyler Flowers,0.5459352,0.43173623,0.59701043,0.5335753,0.4259532,0.45454723,0.55397534,0.48104036,0.43432957
